champions,position_x,position_y
Aatrox,26,0
Ahri,52,0
Akali,78,0
Alistar,103,0
Amumu,129,0
Anivia,155,0
Annie,181,0
Ashe,207,0
Aurelion Sol,233,0
Azir,258,0
Bard,284,0
Blitzcrank,310,0
Brand,336,0
Braum,362,0
Caitlyn,0,26
Camille,26,26
Cassiopeia,52,26
Cho'Gath,78,26
Corki,103,26
Darius,129,26
Diana,155,26
Dr. Mundo,181,26
Draven,207,26
Ekko,233,26
Elise,258,26
Evelynn,284,26
Ezreal,310,26
Fiddlesticks,336,26
Fiora,362,26
Fizz,0,52
Galio,26,52
Gangplank,52,52
Garen,78,52
Gnar,103,52
Gragas,129,52
Graves,155,52
Hecarim,181,52
Heimerdinger,207,52
Illaoi,233,52
Irelia,258,52
Ivern,284,52
Janna,310,52
Jarvan IV,336,52
Jax,362,52
Jayce,0,78
Jhin,26,78
Jinx,52,78
Kai'Sa,78,78
Kalista,103,78
Karma,129,78
Karthus,155,78
Kassadin,181,78
Katarina,207,78
Kayle,233,78
Kayn,258,78
Kennen,284,78
Kha'Zix,310,78
Kindred,336,78
Kled,362,78
Kog'Maw,0,103
LeBlanc,26,103
Lee Sin,52,103
Leona,78,103
Lissandra,103,103
Lucian,129,103
Lulu,155,103
Lux,181,103
Malphite,207,103
Malzahar,233,103
Maokai,258,103
Master Yi,284,103
Miss Fortune,310,103
Mordekaiser,362,103
Morgana,0,129
Nami,26,129
Nasus,52,129
Nautilus,78,129
Neeko,258,233
Nidalee,103,129
Nocturne,129,129
Nunu & Willump,181,129
Olaf,207,129
Orianna,233,129
Ornn,258,129
Pantheon,284,129
Poppy,310,129
Pyke,336,129
Qiyana,336,233
Quinn,362,129
Rakan,0,155
Rammus,26,155
Rek'Sai,52,155
Renekton,78,155
Rengar,103,155
Riven,129,155
Rumble,155,155
Ryze,181,155
Sejuani,207,155
Shaco,233,155
Shen,258,155
Shyvana,284,155
Singed,310,155
Sion,336,155
Sivir,362,155
Skarner,0,181
Sona,26,181
Soraka,52,181
Swain,78,181
Sylas,284,233
Syndra,103,181
Tahm Kench,129,181
Taliyah,155,181
Talon,181,181
Taric,207,181
Teemo,233,181
Thresh,258,181
Tristana,284,181
Trundle,310,181
Tryndamere,336,181
Twisted Fate,362,181
Twitch,0,207
Udyr,26,207
Urgot,52,207
Varus,78,207
Vayne,103,207
Veigar,129,207
Vel'Koz,155,207
Vi,181,207
Viktor,207,207
Vladimir,233,207
Volibear,258,207
Warwick,284,207
Wukong,310,207
Xayah,336,207
Xerath,362,207
Xin Zhao,0,233
Yasuo,26,233
Yorick,52,233
Yuumi,310,233
Zac,78,233
Zed,103,233
Ziggs,129,233
Zilean,155,233
Zoe,181,233
Zyra,207,233
